,T,Conf,Vol,Size,Lev,CrashRisk
0,0.01,1,164,148,160,10.035043284338084
1,1.6400000000000001,64,167,134,147,18.151548693921825
2,0.52,52,164,108,135,32.205258014504295
3,0.29,29,100,176,199,-36.16457037219158
4,1.83,83,190,158,150,15.7619994801327
5,0.09,9,133,116,177,13.2299685265679
6,1.24,24,198,109,148,47.92593744213633
7,1.42,42,144,175,134,-19.619369644828833
8,0.02,2,180,192,158,-10.684326922144674
9,0.39,39,114,138,123,-12.590012596409313
10,1.31,31,105,142,129,-18.695206593683007
11,0.97,97,116,151,155,-16.871460310105277
12,1.08,8,169,113,157,31.623846014303126
13,0.15,15,109,125,196,0.5969693160673585
14,1.55,55,122,116,171,8.195303190598365
15,0.49,49,116,186,106,-43.760145010780825
16,0.24,24,129,162,112,-21.480641826292196
17,1.9300000000000002,93,109,143,140,-17.346161910966863
18,0.54,54,113,194,172,-40.84781943466973
19,1.8,80,197,135,176,37.47511944672058
20,1.52,52,132,196,176,-34.40339819117813
21,0.15,15,105,184,158,-40.71123650856242
22,1.8599999999999999,86,139,110,123,16.828686930661746
23,0.32,32,164,134,162,16.933902827311158
24,0.67,67,172,138,181,20.375503004547102
25,0.56,56,149,105,113,24.113910937428784
26,0.75,75,170,112,119,29.091901526591304
27,1.73,73,128,179,165,-26.50439821368277
28,0.93,93,197,109,183,51.27643509572187
29,1.53,53,189,102,192,52.677242995719446
30,0.42,42,149,189,167,-21.65969736934502
31,1.87,87,154,109,177,28.390581196238223
32,0.56,56,176,160,194,10.932406281138551
33,0.9,90,120,135,108,-9.978996115666902
34,1.05,5,120,155,118,-20.615616578294823
35,1.6800000000000002,68,181,193,152,-10.080807001307756
36,1.8,80,136,190,130,-31.888498923025274
37,0.19,19,168,183,199,-5.749769250027485
38,1.04,4,114,103,174,12.827489656917841
39,0.6900000000000001,69,145,165,188,-7.46980674492035
40,0.63,63,162,183,180,-10.977471570956512
41,0.65,65,107,196,146,-49.990448399057854
42,1.82,82,134,127,192,9.397700999815536
43,0.71,71,150,114,160,23.648373567809575
44,0.67,67,149,123,196,21.161069681379963
45,0.21,21,113,160,111,-27.510859223367337
46,1.82,82,114,160,135,-24.326291538628652
47,0.53,53,141,193,108,-33.85544777780141
48,1.55,55,102,115,168,-1.3053505254291293
49,1.33,33,113,108,159,7.0637075104592775
50,0.33,33,163,121,115,21.38504961681303
51,0.7000000000000001,70,120,120,174,5.348488697967009
52,1.51,51,109,197,127,-49.80557446402485
53,0.44,44,188,117,112,35.546123171927235
54,0.12,12,184,132,164,28.875715128577028
55,1.8900000000000001,89,128,133,176,0.3673732027877463
56,1.6600000000000001,66,116,149,115,-19.166165822405915
57,1.35,35,179,157,103,8.114980024792027
58,1.55,55,124,179,153,-30.202953974751203
59,1.29,29,180,166,185,8.67459889336179
60,0.28,28,114,186,112,-43.460169138303414
61,0.85,85,168,111,117,27.227329540313157
62,1.06,6,181,153,177,17.300121308034218
63,0.98,98,171,118,181,34.2826134819731
64,0.04,4,145,189,188,-22.408614593836415
65,1.37,37,154,188,160,-20.49630727721157
66,1.51,51,124,188,159,-35.57392218802577
67,0.12,12,116,184,104,-42.447054502639126
68,1.69,69,145,193,199,-23.782447241006185
69,1.9100000000000001,91,102,187,192,-41.77231441177038
70,1.54,54,123,147,137,-11.456007099459411
71,1.76,76,183,189,127,-7.592051080112377
72,0.89,89,177,187,161,-6.992647374459122
73,1.55,55,173,160,110,2.1469593016024273
74,0.27,27,188,159,197,20.15126065727597
75,1.22,22,167,110,178,34.72650951074946
76,1.11,11,172,107,188,41.756438955072625
77,1.62,62,165,161,137,-0.43965563460503926
78,0.22,22,176,138,171,20.18439473189464
79,0.64,64,143,171,186,-12.992478545930886
80,1.88,88,194,146,152,23.861485703875786
81,0.22,22,146,100,197,33.300125639314736
82,0.8,80,190,128,170,35.44308456069577
83,0.44,44,164,158,186,5.745664229479472
84,0.73,73,135,141,173,3.2463639605939756
85,0.5,50,144,100,164,29.728550196478672
86,1.63,63,115,164,110,-29.86702652709711
87,0.86,86,107,193,106,-51.892935878241666
88,0.99,99,114,131,139,-5.79670819244879
89,0.7000000000000001,70,109,167,137,-30.287328819328636
90,1.78,78,103,167,109,-39.414346134352996
91,0.56,56,145,191,103,-30.252789000337824
92,1.96,96,181,118,153,36.16304579469482
93,0.8200000000000001,82,165,100,114,33.368931985499785
94,1.01,1,161,157,181,4.802463974296256
95,1.56,56,172,166,142,0.43852926750813137
96,0.99,99,196,116,121,38.943279831472566
97,0.81,81,146,113,197,24.67675375601844
98,1.28,28,111,119,122,-3.477485820747673
99,0.37,37,189,108,135,43.48796619692975
