,T,M,Vol,Size,Lev,CrashRisk
0,1,46.93825770875575,111,133,162,-5.833495315628465
1,0,0.0,102,101,161,7.906647852341302
2,1,70.44632237595165,142,153,143,-6.7181374232336575
3,0,0.0,133,172,145,-21.146345454264353
4,1,36.117704660231645,117,184,111,-39.65886462190792
5,1,79.53072186097822,172,191,162,-12.601416592070542
6,1,67.57619946994545,137,127,161,9.991674279142778
7,0,0.0,106,161,134,-30.67466573191548
8,0,0.0,143,100,117,22.90873531101196
9,0,0.0,161,160,182,2.9112616592189453
10,1,75.70962281738281,138,112,181,19.432387361608633
11,0,0.0,119,183,150,-34.36083563272002
12,1,90.96695829212922,167,148,120,7.374474919978026
13,0,0.0,118,155,126,-21.72791124960676
14,0,0.0,188,166,179,11.813016208189497
15,1,41.84159011553331,100,114,127,-4.945355635983538
16,1,75.36329070143155,150,163,196,-4.992438421645543
17,0,0.0,119,141,148,-8.774112201206865
18,0,0.0,153,197,179,-21.499840114734035
19,0,0.0,169,174,135,-6.820964968873531
20,0,0.0,121,103,165,14.647734688705736
21,0,0.0,137,126,106,1.6281203825710429
22,1,63.40524432737316,143,172,154,-15.700271174544692
23,1,45.95186383953347,114,150,172,-13.229550280416996
24,1,117.54272979945935,192,127,184,38.774800036794964
25,0,0.0,146,183,106,-23.97164414863339
26,0,0.0,142,111,192,23.37034361291647
27,1,28.635528762841307,100,167,105,-41.52608558385237
28,1,79.22465175316131,167,188,168,-13.464468532335362
29,0,0.0,158,127,157,18.410554597648307
30,1,74.15686821568464,132,101,197,24.843882356156925
31,0,0.0,197,105,163,51.011255412959585
32,1,116.95606085825925,198,133,136,33.66517055621313
33,1,73.8104234348065,160,170,104,-12.16359023278552
34,1,102.17466325652921,185,142,110,17.467558074434333
35,1,62.391803536645824,151,198,156,-26.727140971554324
36,1,50.80450797282578,130,178,175,-23.932334783393074
37,1,56.594755128237416,113,100,150,11.452550138167311
38,1,48.5635170924304,132,190,135,-33.489419646373804
39,1,60.36617179704513,117,118,196,7.63836288131569
40,1,52.63758757539669,129,178,166,-26.598867095584822
41,1,100.71250585804752,166,115,134,26.472166785154233
42,1,110.19484245576818,182,122,197,38.09720889449976
43,1,59.43563832142983,114,107,153,9.453864079229865
44,1,95.22947266760085,176,153,170,11.318080912653253
45,0,0.0,151,150,154,0.8981838783455179
46,1,27.710178018690023,107,199,101,-52.44369841622604
47,0,0.0,186,183,194,3.3551785658516526
48,0,0.0,121,176,172,-27.44165203576324
49,0,0.0,162,133,167,15.941252631511873
50,1,26.153049437586777,100,169,183,-33.22304650859545
51,0,0.0,133,122,172,10.928497793952777
52,1,48.369345908504336,132,188,194,-26.968546143234132
53,0,0.0,113,197,175,-44.78601623983388
54,1,88.61369083921706,163,149,114,3.027629089186302
55,0,0.0,133,176,115,-26.682950292502547
56,0,0.0,168,197,119,-23.512267067487272
57,1,88.1905643035703,151,109,156,25.970519513732135
58,1,42.37348058523891,115,168,106,-31.913498614358115
59,0,0.0,148,178,127,-19.865149412208083
60,1,31.7312655141056,114,192,175,-40.62072108017236
61,0,0.0,113,150,106,-22.614078428007247
62,0,0.0,157,113,133,24.515267156841265
63,0,0.0,196,188,110,-3.407213998285755
64,0,0.0,190,174,176,7.094640551688514
65,0,0.0,173,152,125,7.283340506160359
66,1,91.44483932728315,171,157,161,6.904490434669255
67,0,0.0,176,115,172,36.428219323981814
68,0,0.0,165,160,131,-1.1818912349143789
69,0,0.0,165,129,151,19.251378672449118
70,0,0.0,191,177,192,7.589534843282614
71,1,48.86007101312328,113,144,176,-9.604119052177142
72,1,75.46029079411467,163,188,187,-11.623674597826659
73,0,0.0,197,174,188,11.736085472037443
74,1,102.72803522384707,190,161,114,9.848120575222383
75,0,0.0,107,135,198,-8.343278131293596
76,0,0.0,149,156,110,-7.818691496142837
77,0,0.0,186,191,129,-8.65186442490414
78,0,0.0,137,192,198,-28.702483186815165
79,1,75.43936289780137,161,175,158,-8.443817467723292
80,1,87.78137477829486,170,149,120,8.037141804084936
81,1,100.67894245747969,180,146,112,15.021797380593709
82,0,0.0,194,161,186,18.803740314075036
83,1,60.71161029493789,114,107,149,7.756526662042913
84,0,0.0,111,105,169,7.586944878147398
85,1,62.243969300326086,140,170,157,-17.201568343459673
86,1,70.82430161901475,148,150,180,4.0213318836897995
87,0,0.0,126,139,198,-2.189871865047642
88,0,0.0,130,195,104,-42.02676382393316
89,0,0.0,187,122,164,36.534352020428855
90,0,0.0,151,128,151,13.316829722882918
91,1,75.89557098572025,133,101,197,26.343038939936655
92,1,90.30291756145778,147,100,111,24.66549372171792
93,0,0.0,110,105,189,11.603205267795424
94,0,0.0,134,160,137,-14.152468937794199
95,1,71.13058152793506,145,162,117,-13.21503489569023
96,0,0.0,110,111,178,6.203727234262284
97,1,53.05261554711402,102,102,100,0.9533845978750253
98,1,63.30539837958603,150,194,182,-22.058005658240194
99,1,44.179952182309364,111,158,170,-22.836539701816164
100,0,0.0,134,190,183,-29.156229241113426
101,1,48.14528582182837,102,102,170,7.21911899831238
102,0,0.0,120,187,103,-40.21448583445871
103,0,0.0,124,147,183,-8.204103311959042
104,0,0.0,128,150,196,-7.17040874324495
105,0,0.0,135,177,103,-26.235191143143865
106,0,0.0,141,170,103,-19.609533923299225
107,1,107.63832486765509,182,135,101,19.44439585188762
108,1,50.5519677541326,115,137,167,-5.800196383811447
109,1,49.494765900849444,129,187,185,-28.106234383956565
110,1,71.06621387366671,150,173,178,-11.192627375197386
111,0,0.0,151,178,145,-16.23033049918896
112,1,94.0913166675134,174,151,180,13.822968872962804
113,1,120.11030568796468,195,116,142,44.17181250986212
114,0,0.0,178,177,190,1.5830549947747996
115,0,0.0,191,154,113,14.49559223936443
116,1,92.15790873732035,168,154,188,9.8757348660674
117,1,86.04829329709806,162,143,176,12.927180655428629
118,1,71.39068820683636,148,149,111,-3.9514362733701285
119,1,29.71880584116184,105,179,114,-42.11305579760649
120,0,0.0,109,101,109,6.609455146126807
121,1,88.62565900269114,183,195,197,-6.0056378946209446
122,1,91.82490187200324,162,124,142,20.96215772203493
123,0,0.0,168,174,101,-10.025481533958144
124,1,110.54121280216366,196,168,156,13.980012833774747
125,1,83.17960670813147,149,119,169,19.277951810929068
126,1,92.56235203116435,189,193,120,-8.823406577915398
127,0,0.0,193,152,128,20.34822992365559
128,0,0.0,152,120,105,15.046902358238146
129,0,0.0,196,164,194,18.98908231502748
130,0,0.0,185,179,136,-1.3693367621974497
131,0,0.0,159,119,183,26.934533548272352
132,0,0.0,175,112,103,32.22264008528999
133,0,0.0,145,104,190,27.30853964770384
134,0,0.0,127,168,161,-23.625191909282435
135,1,102.32028229245262,165,115,162,32.258346877995926
136,0,0.0,140,137,194,8.174589426725326
137,0,0.0,105,125,180,-5.28940376291896
138,0,0.0,178,164,102,-2.3202025743511707
139,0,0.0,140,187,130,-29.399021744489804
140,0,0.0,188,104,134,43.858755005941376
141,1,43.01778993561962,118,170,127,-30.638150183375
142,1,43.22608513582765,107,145,195,-12.664358471350447
143,1,100.90014878574303,165,106,168,35.925425286624325
144,1,107.1664497028945,191,153,114,16.686738011632848
145,0,0.0,185,124,158,34.84525019166967
146,0,0.0,191,100,106,45.534380681258064
147,0,0.0,187,172,172,7.121547340003902
148,0,0.0,124,193,137,-40.228965254547596
149,0,0.0,191,153,109,16.207024027366092
150,0,0.0,146,104,197,30.082902774395702
151,0,0.0,156,161,122,-6.2333727348770145
152,1,111.88692559090995,189,127,108,29.7343826727318
153,1,102.31705799836499,168,111,172,36.118573195781
154,0,0.0,175,185,197,-5.30142827363159
155,0,0.0,123,117,161,6.661630406101618
156,0,0.0,116,167,154,-25.54634954647156
157,0,0.0,161,169,162,-3.7357756498730255
158,0,0.0,181,195,126,-13.967674901510161
159,0,0.0,129,192,167,-34.56848464497629
160,1,106.51846721452827,192,167,156,11.44670568511675
161,1,42.80200826981128,128,191,184,-32.32864107197324
162,0,0.0,186,138,196,29.399316806017296
163,1,40.940562927305066,104,126,166,-7.195388775516874
164,1,121.72103584411167,190,106,150,47.30112901964025
165,1,94.46008880481418,184,168,174,8.665388146469132
166,1,98.62057849014825,184,165,193,11.552026570245937
167,1,30.409168818106792,110,183,142,-39.310356553450234
168,1,91.20975691550235,168,138,148,15.008578164907659
169,1,67.14574726215352,123,115,122,5.77710665717996
170,1,83.6658202128246,151,120,132,16.16795019887441
171,1,48.28362476787567,111,127,177,-3.773541237523083
172,1,106.17464776065316,199,183,115,2.800425273450819
173,1,29.426732833871625,100,177,110,-42.70486773472347
174,1,52.53819626056375,105,117,135,-4.4030997151763245
175,1,63.81072814088606,133,153,130,-12.916467153908847
176,1,63.5565782150541,124,102,113,13.768732174434945
177,0,0.0,170,123,180,29.13430954218811
178,1,37.57178983975444,107,160,101,-32.13104318496741
179,0,0.0,147,109,115,19.526249223352067
180,0,0.0,121,179,192,-25.92981626841354
181,1,102.71355440717309,193,166,119,9.09232432114005
182,1,109.97522693106322,190,138,187,29.328191876920023
183,1,64.28371818629299,132,134,145,-0.07519378238138386
184,1,64.14589676144143,145,174,157,-14.940387383160386
185,0,0.0,165,155,110,-0.05954242194685311
186,1,128.7475267063915,194,106,110,45.30018358119902
187,1,61.851970046167224,129,132,179,3.6893140836188794
188,1,118.18829703212836,192,116,167,43.15694159113345
